x, y
52.177242,-0.425391
52.140236,-0.483205
52.11918,-0.493852
52.12591,-0.487183
52.14611,-0.470904
52.11564,-0.503245
52.118006,-0.413282
52.133473,-0.465726
52.137253,-0.465304
52.126376,-0.459995
52.123984,-0.466899
52.118988,-0.46155
52.114224,-0.486731
52.142385,-0.473472
52.135901,-0.467104
52.16992,-0.528974
52.189685,-0.545833
52.135899,-0.472525
52.25149,-0.623872
52.254107,-0.623952
52.161839,-0.420642
52.145499,-0.536121
52.148249,-0.437887
52.137834,-0.478947
52.081896,-0.450406
52.178618,-0.315458
52.112066,-0.497918
52.139835,-0.454431
52.107753,-0.436586
52.120141,-0.488883
52.13448,-0.49224
52.250762,-0.504196
52.28424,-0.491751
52.134172,-0.473125
52.070675,-0.513941
52.144612,-0.526958
52.124933,-0.48184
52.143119,-0.426653
52.12523,-0.443893
52.15242,-0.345463
52.137958,-0.467018
52.142341,-0.468666
52.171958,-0.528029
52.140531,-0.466434
52.13546,-0.514884
52.095853,-0.417411
52.208976,-0.589973
52.153889,-0.444209
52.120334,-0.452462
52.137395,-0.461705
52.258574,-0.4232
52.289492,-0.517451
52.085934,-0.489965
52.188877,-0.552559
52.095965,-0.52878
52.136987,-0.374309
52.208094,-0.290575
52.113801,-0.496531
52.210786,-0.509037
52.122263,-0.389014
52.140351,-0.469114
52.136183,-0.466028
52.140369,-0.474725
52.137178,-0.465073
52.202021,-0.61387
52.269504,-0.603647
52.146104,-0.433461
52.201735,-0.611727
52.138261,-0.466088
52.14705,-0.456081
52.161881,-0.452995
52.135795,-0.465208
52.167537,-0.556615
52.192833,-0.601778
52.139267,-0.475712
52.137563,-0.462839
52.159771,-0.489982
52.207953,-0.55153
52.225512,-0.542774
52.141743,-0.473173
52.29681,-0.47289
52.162991,-0.625419
52.137395,-0.461705
52.158188,-0.458664
52.08175,-0.449564
52.13819,-0.507502
52.185099,-0.400553
52.136517,-0.466133
52.194434,-0.299147
52.141391,-0.468888
52.139569,-0.443729
52.1359,-0.467104
52.136517,-0.466133
52.161851,-0.627881
51.875255,0.506192
51.877291,0.548311
52.076439,0.465405
51.908637,0.696505
51.943931,0.62793
51.881106,0.551956
51.902304,0.554771
51.903393,0.555952
51.874592,0.621965
51.878751,0.552287
51.876773,0.545201
51.872933,0.581945
51.874119,0.570927
51.878987,0.551778
51.987272,0.597796
51.872401,0.687972
51.862476,0.686639
51.870007,0.671863
51.933178,0.688709
51.926909,0.699738
51.936043,0.630407
51.846722,0.622392
51.788922,0.636497
51.878858,0.610924
51.928337,0.691983
51.926409,0.697599
51.83444,0.700139
52.043611,0.448839
51.939965,0.590187
51.945034,0.6377
51.953955,0.651701
51.943963,0.640941
52.071118,0.441078
51.799069,0.638786
51.837372,0.701302
51.835812,0.699525
51.865469,0.538564
51.814259,0.639979
51.770447,0.707278
51.990117,0.597218
51.989439,0.584725
51.858354,0.523189
51.884353,0.542345
51.90493,0.565912
52.072507,0.647866
51.794935,0.634644
51.902304,0.554771
51.943799,0.632229
51.982544,0.589105
51.849403,0.62114
51.800914,0.635499
51.802809,0.648042
51.775431,0.59248
51.805403,0.562677
51.875669,0.55095
51.832975,0.696974
51.799069,0.638786
51.947183,0.434922
51.898707,0.519737
51.98963,0.598938
51.850391,0.717068
51.888227,0.557373
51.950178,0.528705
51.878258,0.552216
51.92719,0.702374
51.871305,0.685931
51.813552,0.634192
51.89062,0.643974
51.944726,0.6418
51.770723,0.607329
51.927883,0.698822
51.777169,0.598089
51.970369,0.771877
51.940436,0.691835
51.968585,0.450132
51.801083,0.641225
51.933921,0.504267
51.878011,0.556139
51.846766,0.522962
51.93561,0.592788
52.008609,0.533121
51.942572,0.640844
52.050065,0.611823
52.01278,0.736926
52.001861,0.451731
51.879561,0.54979
52.040511,0.531673
51.93561,0.592788
51.927883,0.698822
51.944934,0.632136
51.878617,0.552687
51.869311,0.581853
51.878617,0.552687
51.892146,0.614354
51.875779,0.574756
52.006994,0.640207
51.876982,0.553815
52.042298,0.487908
51.805964,0.63652
51.839766,0.704334
51.968398,0.452189
52.068363,0.474006
52.042889,0.621497
51.800558,0.641383
52.042757,0.446648
51.902304,0.554771
51.943935,0.635395
51.875164,0.565466
51.799436,0.640055
51.816218,0.534198
51.840861,0.707942
51.876067,0.513662
51.797502,0.637303
51.886112,0.569795
52.016318,0.565447
51.968517,0.456403
51.805809,0.619697
51.99556,0.666733
51.94276,0.626421
51.87554,0.509259
51.989352,0.598456
51.944711,0.638074
52.011023,0.566586
52.037914,0.529908
51.807475,0.635317
51.856326,0.602183
51.809453,0.634504
51.873912,0.6903
52.050076,0.746907
51.948512,0.43677
51.876708,0.553189
51.843598,0.629006
51.953394,0.487974
51.772513,0.60649
51.936764,0.607709
51.826156,0.600907
51.800777,0.639205
51.772351,0.606118
51.799231,0.625538
51.798882,0.639515
52.446503,1.024176
52.514638,1.02091
52.514593,1.009998
52.446503,1.024176
52.583268,0.572042
52.496684,0.983533
52.582937,0.875593
52.413253,0.750459
52.683185,0.941619
52.571223,0.825043
52.713554,0.989374
52.680197,0.942453
52.664995,0.951283
52.480415,0.836304
52.766699,0.747148
52.683805,0.935475
52.413652,0.751087
52.647829,0.688755
52.441325,0.926208
52.682218,0.94
52.649611,0.684739
52.413687,0.747662
52.472098,1.071614
52.413247,0.751135
52.64872,0.687139
52.471973,1.073622
52.747752,0.939137
52.415064,0.746821
52.518322,1.017875
52.652376,1.036745
52.60289,0.782372
52.663918,0.940708
52.426095,0.753921
52.680197,0.942453
52.580891,0.809514
52.482696,1.041905
52.743042,0.95423
52.413712,0.750473
52.516853,1.014826
52.586373,0.799427
52.688619,0.582819
52.645722,0.689276
52.63412,0.677065
52.413131,0.754922
52.70399,0.978165
52.462989,0.916779
52.414979,0.753949
52.680446,0.759485
52.679766,0.941344
52.669764,0.808011
52.412083,0.742401
52.534517,0.830973
52.679125,0.956956
52.51409,1.019825
52.533779,0.976419
52.800252,0.846919
52.417722,0.756679
52.410861,0.75278
52.494857,0.876897
52.570304,0.867755
52.718448,1.061507
52.714214,0.993931
52.461623,1.032869
52.43908,0.932239
52.682738,0.9386
52.627924,0.887573
52.617337,0.587041
52.640165,0.839138
52.410758,0.992272
52.722725,0.79299
52.684135,1.025646
52.411749,0.748998
52.707692,1.036708
52.681701,0.939802
52.654907,0.97172
52.719065,0.918013
52.471745,0.96999
52.746562,1.029587
52.582921,0.723428
52.670277,0.733445
52.681701,0.939802
52.647829,0.688755
52.432612,1.004288
52.540752,0.887406
52.681164,0.939337
52.416531,0.745236
52.448009,0.754347
52.773167,0.992629
52.677145,0.940783
52.468308,0.609534
52.651291,0.688361
52.658696,1.034714
52.43908,0.932239
52.587827,0.597571
52.572044,0.694992
